grid,file,latitude,longitude
sparse_127,sat_51.510913_-0.127175.png,51.510913,-0.127175
filled_272,satellite_51.502900_-0.121167.png,51.5029,-0.121167
filled_272,satellite_51.502900_-0.122025.png,51.5029,-0.122025
filled_272,satellite_51.502900_-0.122884.png,51.5029,-0.122884
filled_272,satellite_51.502900_-0.123742.png,51.5029,-0.123742
filled_272,satellite_51.502900_-0.124600.png,51.5029,-0.1246
filled_272,satellite_51.502900_-0.125459.png,51.5029,-0.125459
filled_272,satellite_51.502900_-0.126317.png,51.5029,-0.126317
filled_272,satellite_51.502900_-0.127175.png,51.5029,-0.127175
filled_272,satellite_51.502900_-0.128034.png,51.5029,-0.128034
filled_272,satellite_51.502900_-0.128892.png,51.5029,-0.128892
filled_272,satellite_51.502900_-0.129750.png,51.5029,-0.12975
filled_272,satellite_51.502900_-0.130608.png,51.5029,-0.130608
filled_272,satellite_51.502900_-0.131467.png,51.5029,-0.131467
filled_272,satellite_51.502900_-0.132325.png,51.5029,-0.132325
filled_272,satellite_51.502900_-0.133183.png,51.5029,-0.133183
filled_272,satellite_51.502900_-0.134042.png,51.5029,-0.134042
filled_272,satellite_51.502900_-0.134900.png,51.5029,-0.1349
filled_272,satellite_51.503434_-0.121167.png,51.503434,-0.121167
filled_272,satellite_51.503434_-0.122025.png,51.503434,-0.122025
filled_272,satellite_51.503434_-0.122884.png,51.503434,-0.122884
filled_272,satellite_51.503434_-0.123742.png,51.503434,-0.123742
filled_272,satellite_51.503434_-0.124600.png,51.503434,-0.1246
filled_272,satellite_51.503434_-0.125459.png,51.503434,-0.125459
filled_272,satellite_51.503434_-0.126317.png,51.503434,-0.126317
filled_272,satellite_51.503434_-0.127175.png,51.503434,-0.127175
filled_272,satellite_51.503434_-0.128034.png,51.503434,-0.128034
filled_272,satellite_51.503434_-0.128892.png,51.503434,-0.128892
filled_272,satellite_51.503434_-0.129750.png,51.503434,-0.12975
filled_272,satellite_51.503434_-0.130608.png,51.503434,-0.130608
filled_272,satellite_51.503434_-0.131467.png,51.503434,-0.131467
filled_272,satellite_51.503434_-0.132325.png,51.503434,-0.132325
filled_272,satellite_51.503434_-0.133183.png,51.503434,-0.133183
filled_272,satellite_51.503434_-0.134042.png,51.503434,-0.134042
filled_272,satellite_51.503434_-0.134900.png,51.503434,-0.1349
filled_272,satellite_51.503968_-0.121167.png,51.503968,-0.121167
filled_272,satellite_51.503968_-0.122025.png,51.503968,-0.122025
filled_272,satellite_51.503968_-0.122884.png,51.503968,-0.122884
filled_272,satellite_51.503968_-0.123742.png,51.503968,-0.123742
filled_272,satellite_51.503968_-0.124600.png,51.503968,-0.1246
filled_272,satellite_51.503968_-0.125459.png,51.503968,-0.125459
filled_272,satellite_51.503968_-0.126317.png,51.503968,-0.126317
filled_272,satellite_51.503968_-0.127175.png,51.503968,-0.127175
filled_272,satellite_51.503968_-0.128034.png,51.503968,-0.128034
filled_272,satellite_51.503968_-0.128892.png,51.503968,-0.128892
filled_272,satellite_51.503968_-0.129750.png,51.503968,-0.12975
filled_272,satellite_51.503968_-0.130608.png,51.503968,-0.130608
filled_272,satellite_51.503968_-0.131467.png,51.503968,-0.131467
filled_272,satellite_51.503968_-0.132325.png,51.503968,-0.132325
filled_272,satellite_51.503968_-0.133183.png,51.503968,-0.133183
filled_272,satellite_51.503968_-0.134042.png,51.503968,-0.134042
filled_272,satellite_51.503968_-0.134900.png,51.503968,-0.1349
filled_272,satellite_51.504503_-0.121167.png,51.504503,-0.121167
filled_272,satellite_51.504503_-0.122025.png,51.504503,-0.122025
filled_272,satellite_51.504503_-0.122884.png,51.504503,-0.122884
filled_272,satellite_51.504503_-0.123742.png,51.504503,-0.123742
filled_272,satellite_51.504503_-0.124600.png,51.504503,-0.1246
filled_272,satellite_51.504503_-0.125459.png,51.504503,-0.125459
filled_272,satellite_51.504503_-0.126317.png,51.504503,-0.126317
filled_272,satellite_51.504503_-0.127175.png,51.504503,-0.127175
filled_272,satellite_51.504503_-0.128034.png,51.504503,-0.128034
filled_272,satellite_51.504503_-0.128892.png,51.504503,-0.128892
filled_272,satellite_51.504503_-0.129750.png,51.504503,-0.12975
filled_272,satellite_51.504503_-0.130608.png,51.504503,-0.130608
filled_272,satellite_51.504503_-0.131467.png,51.504503,-0.131467
filled_272,satellite_51.504503_-0.132325.png,51.504503,-0.132325
filled_272,satellite_51.504503_-0.133183.png,51.504503,-0.133183
filled_272,satellite_51.504503_-0.134042.png,51.504503,-0.134042
filled_272,satellite_51.504503_-0.134900.png,51.504503,-0.1349
filled_272,satellite_51.505037_-0.121167.png,51.505037,-0.121167
filled_272,satellite_51.505037_-0.122025.png,51.505037,-0.122025
